esp-047 Cantharellus aurora
esp-054 Pseudocraterellus undulatus
esp-097 Clitocybe geotropa
esp-100 Clitocybe dealbata
esp-101 Lepista nuda
esp-102 Lepista personata
esp-115 Cortinarius splendens
esp-116 Cortinarius praestans
esp-118 Inocybe rimosa
esp-119 Inocybe erubescens
esp-124 Phlegmacium calochroum
esp-125 Dermocybe sanguinea
esp-135 Polyporus squamosus
esp-136 Pycnoporus cinnabarinus
esp-137 Daedalea quercina
esp-145 Hygrocybe pratensis
esp-146 Hygrocybe psittacina
esp-153 Agrocybe aegerita
esp-164 Macrolepiota rhacodes
esp-165 Leucoagaricus leucothites
esp-169 Psathyrella candolleana
esp-175 Sarcodon scabrosus
esp-178 Bankera fuligineoalba
esp-182 Lycoperdon pyriforme
